"label","gemeturi","glossaryuri","comments","replacewith","geonames","instructions: "
"earth summit",,,,"Earth Summit",,
"earthquake","http://www.eionet.europa.eu/gemet/concept/2402","http://glossary.eea.europa.eu/EEAGlossary/E/earthquake",,"earthquakes",,
"Eastern Europe","http://www.eionet.europa.eu/gemet/concept/2413","http://glossary.eea.europa.eu/EEAGlossary/E/Eastern_Europe",,,"?",
"ecodesign",,,,,,
"Ecodrive",,,,"ecodriving",,
"ecodriving",,,,,,
"eco-industry",,"http://glossary.eea.europa.eu/EEAGlossary/E/eco-industry",,,,
"ecolabel","http://www.eionet.europa.eu/gemet/concept/10936","http://glossary.eea.europa.eu/EEAGlossary/E/ecolabel",,"Ecolabel",,
"eco-label",,,,"Ecolabel",,
"ecological diversity",,,,,,
"ecological footprint",,,,,,
"ecological network",,,,,,
"ecology","http://www.eionet.europa.eu/gemet/concept/2470","http://glossary.eea.europa.eu/EEAGlossary/E/ecology",,,,
"economic",,,,"economy",,
"economic assessment",,,,"economic assessments",,
"economic competitiveness",,,,,,
"economic damage costs",,,,,,
"economic downturn",,,,,,
"economic growth","http://www.eionet.europa.eu/gemet/concept/2490",,,,,
"economic megatrends",,,,,,
"economic policy instruments",,"http://glossary.eea.europa.eu/EEAGlossary/E/economic_policy_instruments",,,,
"economic unequality",,,,"economic inequalities",,
"economy","http://www.eionet.europa.eu/gemet/concept/2516",,,,,
"ECOSOC",,,,,,
"ecosystem","http://www.eionet.europa.eu/gemet/concept/2519","http://glossary.eea.europa.eu/EEAGlossary/E/ecosystem",,"ecosystems",,
"ecosystem accounting",,,,,,
"ecosystem integrity",,,,,,
"ecosystem resilience",,,,,,
"ecosystem services",,,,,,
"ecosystems",,,,,,
"ecosystems perspective",,,,,,
"eco-technology",,,,"eco-technologies",,
"ecotourism","http://www.eionet.europa.eu/gemet/concept/2527","http://glossary.eea.europa.eu/EEAGlossary/E/ecotourism",,,,
"eco-village",,,,"eco-villages",,
"education","http://www.eionet.europa.eu/gemet/concept/2547",,,,,
"education based travel",,,,,,
"EE_F01",,,,,,
"EE_F02",,,,,,
"EE_F04",,,,,,
"EE_F05",,,,,,
"EE_F06",,,,,,
"EE_F07",,,,,,
"EE_F08",,,,,,
"EE_F09",,,,,,
"EE_F11",,,,,,
"EE_F12",,,,,,
"EE_F13",,,,,,
"EEA",,"http://glossary.eea.europa.eu/EEAGlossary/E/EEA",,,,
"EEA environment policy",,,,,,
"EEA general brochure 2009 (BG)",,,"internal only",,,
"EEA Member Countries",,,,"EEA member countries",,
"EEA owned data sets",,,,,,
"EEA product",,,,,,
"EEA Report No 2/2004",,,,,,
"EEA role",,,,,,
"EEA Signals 2010 - Biodiversity",,,,,,
"EEA strategy",,,,,,
"EEA target audience",,,,,,
"EE-AoA",,,,,,
"EETAP",,,,,,
"efficiency",,,,"energy efficiency",,
"eionet",,,,"Eionet",,
"eionet waterbase",,,,"Eionet waterbase",,
"eionet-water",,,,"Eionet waterbase",,
"electric car",,,,"electric cars",,
"electricity","http://www.eionet.europa.eu/gemet/concept/2592","http://glossary.eea.europa.eu/EEAGlossary/E/electricity",,,,
"electricity consumption","http://www.eionet.europa.eu/gemet/concept/2594",,,,,
"electricity generation","http://www.eionet.europa.eu/gemet/concept/2595","http://glossary.eea.europa.eu/EEAGlossary/E/electricity_generation",,,,
"electromagnetic field",,"http://glossary.eea.europa.eu/EEAGlossary/E/electromagnetic_field",,,,
"electronic equipment",,,,,,
"electronic waste",,,,,,
"elevation",,,,,,
"EMAS",,"http://glossary.eea.europa.eu/EEAGlossary/E/EMAS",,,,
"emas",,,,"EMAS",,
"EMEP",,"http://glossary.eea.europa.eu/EEAGlossary/E/EMEP",,,,
"EMEP model scenarios",,,,,,
"EMF",,,,,,
"Emission",,,,"emissions",,
"emission","http://www.eionet.europa.eu/gemet/concept/2663",,,"emissions",,
"emission ceiling",,"http://glossary.eea.europa.eu/EEAGlossary/E/emission_ceiling",,"emission ceilings",,
"emission inventory",,"http://glossary.eea.europa.eu/EEAGlossary/E/emission_inventory",,,,
"emission monitoring",,,,,,
"emission offsetting",,,,,,
"emission reduction","http://www.eionet.europa.eu/gemet/concept/2670",,,,,
"emission reduction unit",,,,"emission reduction units",,
"emission trading",,"http://glossary.eea.europa.eu/EEAGlossary/E/emission_trading",,,,
"emission trading scheme",,,,"emissions trading scheme",,
"emission trends",,,,,,
"emission trends and projections",,,,"emissions trends and projections",,
"emission unit",,,,,,
"emissions",,,,,,
"emissions for industry",,,,"emissions from industry",,
"emissions from agriculture",,,,,,
"emissions from transport",,,,,,
"Emissions Reduction",,,,"emissions reduction",,
"emissions trading directive",,,,,,
"emissions trading scheme",,"http://glossary.eea.europa.eu/EEAGlossary/E/emissions_trading_scheme",,,,
"emissions trading system",,,,"emissions trading scheme",,
"emissions trends and projections",,,,,,
"employment","http://www.eionet.europa.eu/gemet/concept/2683",,,,,
"endangered plant species","http://www.eionet.europa.eu/gemet/concept/2700",,,,,
"endangered species",,"http://glossary.eea.europa.eu/EEAGlossary/E/endangered_species",,,,
"endemic species","http://www.eionet.europa.eu/gemet/concept/10562","http://glossary.eea.europa.eu/EEAGlossary/E/endemic_species",,,,
"endenism",,,,"endemism",,
"endocrine disruption",,,,,,
"ENER",,,,,,
"ENER001",,,,,,
"ENER005",,,,,,
"ENER006",,,,,,
"ENER007",,,,,,
"ENER007ENER2011",,,,,,
"ENER008",,,,,,
"ENER009",,,,,,
"ENER01",,,,,,
"ENER010",,,,,,
"ENER011",,,,,,
"ENER012",,,,,,
"ENER013",,,,,,
"ENER014",,,,,,
"ENER015",,,,,,
"ENER016",,,,,,
"ENER017",,,,,,
"ENER018",,,,,,
"ENER019",,,,,,
"ener02",,,,,,
"ENER020",,,,,,
"ENER021",,,,,,
"ENER022",,,,,,
"ENER023",,,,,,
"ENER024",,,,,,
"ENER025",,,,,,
"ENER026",,,,,,
"ENER027",,,,,,
"ENER028",,,,,,
"ENER029",,,,,,
"ENER030",,,,,,
"ENER031",,,,,,
"ENER032",,,,,,
"ENER034",,,,,,
"ENER035",,,,,,
"ENER05",,,,,,
"ENER06",,,,,,
"ENER07",,,,,,
"ENER08",,,,,,
"ENER09",,,,,,
"ENER11",,,,,,
"ENER12",,,,,,
"ENER13",,,,,,
"ENER15",,,,,,
"ENER16",,,,,,
"ENER17",,,,,,
"ENER18",,,,,,
"ENER19",,,,,,
"ENER20",,,,,,
"ENER2009",,,,,,
"ENER2010",,,,,,
"ENER2011",,,,,,
"ENER21",,,,,,
"ENER22",,,,,,
"ENER23",,,,,,
"ENER24",,,,,,
"ENER25",,,,,,
"ENER26",,,,,,
"ENER27",,,,,,
"ENER28",,,,,,
"ENER29",,,,,,
"ENER30",,,,,,
"ENER31",,,,,,
"ENER32",,,,,,
"ENER34",,,,,,
"ENER35",,,,,,
"Energy",,,,"energy",,
"energy","http://www.eionet.europa.eu/gemet/concept/2712","http://glossary.eea.europa.eu/EEAGlossary/E/energy",,,,
"energy audit",,,,,,
"energy certification",,,,,,
"energy consumption","http://www.eionet.europa.eu/gemet/concept/2715",,,,,
"energy consumtion",,,,"energy consumption",,
"energy crisis",,,,,,
"energy demand","http://www.eionet.europa.eu/gemet/concept/2718",,,,,
"energy efficiency","http://www.eionet.europa.eu/gemet/concept/2724","http://glossary.eea.europa.eu/EEAGlossary/E/energy_efficiency",,,,
"energy efficiency label",,,,,,
"energy efficient buildings",,,,,,
"energy efficient bulb",,,,"energy efficient light bulbs",,
"energy efficient lighting",,,,,,
"energy intensity",,"http://glossary.eea.europa.eu/EEAGlossary/E/energy_intensity",,,,
"energy mix",,,,,,
"energy policy","http://www.eionet.europa.eu/gemet/concept/2733","http://glossary.eea.europa.eu/EEAGlossary/E/energy_policy",,,,
"energy price",,,,"energy prices",,
"energy production","http://www.eionet.europa.eu/gemet/concept/2735",,,,,
"energy production emissions",,,,,,
"energy production impact",,,,"energy production impacts",,
"energy productivity",,,,,,
"energy use",,"http://glossary.eea.europa.eu/EEAGlossary/E/energy_use",,,,
"energy2008",,,,,,
"energy-related emission",,,,"emissions from energy",,
"ENPI-SEIS",,,,,,
"enquiries",,,,,,
"enteric fermentation",,,,,,
"environment","http://www.eionet.europa.eu/gemet/concept/2944",,,,,
"environment for europe",,,,"Environment for Europe",,
"environmental",,,,"environment",,
"environmental accounts",,,,,,
"environmental agreements",,,,,,
"Environmental assessment report No 10",,,,,,
"environmental assets",,,,,,
"environmental change model",,,,"environmental change models",,
"environmental charges",,,,,,
"environmental footprint",,,,,,
"environmental information system","http://www.eionet.europa.eu/gemet/concept/2853",,,,,
"environmental law","http://www.eionet.europa.eu/gemet/concept/2859",,,,,
"environmental management system",,"http://glossary.eea.europa.eu/EEAGlossary/E/environmental_management_system",,,,
"environmental megatrends",,,,,,
"environmental model characterisation",,,,,,
"environmental model inventory",,,,,,
"environmental modelling technique",,,,"environmental modelling techniques",,
"Environmental policy",,,,"environmental policy",,
"environmental policy","http://www.eionet.europa.eu/gemet/concept/2892",,,,,
"environmental politics",,,,,,
"environmental pressure",,,,"environmental pressures",,
"environmental pressure intensity",,,,,,
"environmental statement",,"http://glossary.eea.europa.eu/EEAGlossary/E/environmental_statement",,,,
"environmental tax reform",,"http://glossary.eea.europa.eu/EEAGlossary/E/environmental_tax_reform",,,,
"environmental taxes",,,,,,
"environmental technology industry",,,,,,
"environmental trends",,,,,,
"environmental zone",,,,"environmental zones",,
"environmentally-compatible bioenergy",,,,,,
"environmentally-oriented farming",,,,,,
"EOF",,,,,,
"EoID",,,,,,
"EPER",,"http://glossary.eea.europa.eu/EEAGlossary/E/EPER",,,,
"E-PRTR",,,,,,
"erosion","http://www.eionet.europa.eu/gemet/concept/2963",,,,,
"ERU",,,,,,
"estuary","http://www.eionet.europa.eu/gemet/concept/2974","http://glossary.eea.europa.eu/EEAGlossary/E/estuary",,"estuaries",,
"ETC/ACC",,"http://glossary.eea.europa.eu/EEAGlossary/E/ETC_ACC",,,,
"ETC/NPB",,"http://glossary.eea.europa.eu/EEAGlossary/E/ETC_NPB",,,,
"ETC/WTR",,"http://glossary.eea.europa.eu/EEAGlossary/E/ETCWTR",,,,
"ETR",,"http://glossary.eea.europa.eu/EEAGlossary/E/ETR",,,,
"ETS",,"http://glossary.eea.europa.eu/EEAGlossary/E/ETS",,,,
"EU",,"http://glossary.eea.europa.eu/EEAGlossary/E/EU",,,,
"EU 2020",,,,,,
"EU air emission policies",,,,"EU air emission policy",,
"EU cohesion policy",,,,,,
"EU coverage",,,,,,
"EU emission inventory",,,,,,
"EU ETS",,,,,,
"EU GHG inventory",,,,,,
"EU legislation",,,,,,
"EU marine strategy framework directive",,,,,,
"EU objective",,,,"EU objectives",,
"EU policies",,,,"EU policy",,
"EU strategy",,,,,,
"EU waste types",,,,,,
"EU-15",,"http://glossary.eea.europa.eu/EEAGlossary/E/EU-15",,,,
"EU-27",,,,,,
"EUNIS",,"http://glossary.eea.europa.eu/EEAGlossary/E/EUNIS",,,,
"euroharp",,,,,,
"europa, eu, ramon, regions, nomenclature, territorial, units, statistics,
     classification, statistical regions, nomenclature server, international statistical classifications",,,,"none",,
"Europe","http://www.eionet.europa.eu/gemet/concept/2992",,"geo",,6255148,
"european adaptation strategy",,,,,,
"european environment",,,,,,
"european neighbourhood",,,,,,
"european neighbourhood project",,,,,,
"Europe's environment",,,,,,
"eurosion",,,,"erosion",,
"Eurowaternet",,"http://glossary.eea.europa.eu/EEAGlossary/E/Eurowaternet",,,,
"eutrophication","http://www.eionet.europa.eu/gemet/concept/3007","http://glossary.eea.europa.eu/EEAGlossary/E/eutrophication",,,,
"evaporation","http://www.eionet.europa.eu/gemet/concept/3019",,,,,
"e-waste",,,,,,
"exceedance",,"http://glossary.eea.europa.eu/EEAGlossary/E/exceedance",,,,
"exchange of information decision",,"http://glossary.eea.europa.eu/EEAGlossary/E/exchange_of_information_decision",,,,
"exhaust gas","http://www.eionet.europa.eu/gemet/concept/3045",,,,,
"exotic species","http://www.eionet.europa.eu/gemet/concept/3048","http://glossary.eea.europa.eu/EEAGlossary/E/exotic_species",,,,
"exotic species","http://www.eionet.europa.eu/gemet/concept/3048","http://glossary.eea.europa.eu/EEAGlossary/E/exotic_species_old",,"none",,
"expansion",,,,,,
"expenditure","http://www.eionet.europa.eu/gemet/concept/3049",,,"expenditures",,
"export","http://www.eionet.europa.eu/gemet/concept/3063",,,"exports",,
"exports",,,,,,
"exposure","http://www.eionet.europa.eu/gemet/concept/3067","http://glossary.eea.europa.eu/EEAGlossary/E/exposure",,,,
"extensive farming",,"http://glossary.eea.europa.eu/EEAGlossary/E/extensive_farming",,,,
"externalities",,,,,,
"extinction",,,,,,
"extraction","http://www.eionet.europa.eu/gemet/concept/3087",,,,,
"extreme events",,,,,,
"extreme temperatures",,,,,,
"extreme weather event",,,,"extreme weather events",,
"Eye on Earth",,,,,,
"facebook",,,,,,
"fact sheets",,,,,,
"FAIRMODE",,,,,,
"FAME",,,,,,
"farm","http://www.eionet.europa.eu/gemet/concept/3130",,,"farms",,
"farming",,,,,,
"farmland",,,,,,
"farmland abandonment",,,,,,
"farmland biodiversity",,,,,,
"fatty acid methyl ether",,,,,,
"felling",,,,,,
"fertiliser","http://www.eionet.europa.eu/gemet/concept/3169",,,"fertilisers",,
"fertility",,,,,,
"fertilization",,,,"fertilisers",,
"financial crisis",,,,,,
"financing","http://www.eionet.europa.eu/gemet/concept/3205",,,,,
"fine dust","http://www.eionet.europa.eu/gemet/concept/3209",,,,,
"fine particles",,,,,,
"finland",,,"geo","Finland",660013,
"fire","http://www.eionet.europa.eu/gemet/concept/3212","http://glossary.eea.europa.eu/EEAGlossary/F/fire",,"fires",,
"first environmental policies",,,,"early environmental policies",,
"fiscal reform",,,,"tax reform",,
"FISH",,,,,,
"fish","http://www.eionet.europa.eu/gemet/concept/3252",,,,,
"fish catch",,"http://glossary.eea.europa.eu/EEAGlossary/F/fish_catch",,,,
"fish stock","http://www.eionet.europa.eu/gemet/concept/3273","http://glossary.eea.europa.eu/EEAGlossary/F/fish_stock",,,,
"FISH003",,,,,,
"FISH004",,,,,,
"FISH005",,,,,,
"FISH011",,,,,,
"FISH01a",,,,,,
"FISH01b",,,,,,
"fisheries",,,,,,
"fishery","http://www.eionet.europa.eu/gemet/concept/3237","http://glossary.eea.europa.eu/EEAGlossary/F/fishery",,"fisheries",,
"fishing","http://www.eionet.europa.eu/gemet/concept/3256",,,,,
"flame-retardant",,,,"flame-retardants",,
"FLIS",,,,,,
"floating house",,,,"floating houses",,
"flood","http://www.eionet.europa.eu/gemet/concept/3298","http://glossary.eea.europa.eu/EEAGlossary/F/flood",,"floods",,
"flood defence",,,,"flood defences",,
"flood management",,,,,,
"flooding","http://www.eionet.europa.eu/gemet/concept/3301","http://glossary.eea.europa.eu/EEAGlossary/F/flooding",,"floods",,
"floodplain forest",,,,"floodplain forests",,
"floods",,,,,,
"flora",,,,,,
"flowering",,,,,,
"fluorinated gases",,"http://glossary.eea.europa.eu/EEAGlossary/F/fluorinated_gases",,,,
"food","http://www.eionet.europa.eu/gemet/concept/3354",,,,,
"food consumption",,,,,,
"food consumption patterns",,,,,,
"food processing",,,,,,
"food production",,,,,,
"Food production and consumption",,,,"none",,
"food transport","http://www.eionet.europa.eu/gemet/concept/3392",,,,,
"Forest",,,,"forests",,
"forest","http://www.eionet.europa.eu/gemet/concept/3406","http://glossary.eea.europa.eu/EEAGlossary/F/forest",,"forests",,
"forest biodiversity",,,,,,
"forest connectivity",,,,,,
"forest conservation","http://www.eionet.europa.eu/gemet/concept/3410",,,,,
"forest creation",,,,,,
"forest degradation",,"http://glossary.eea.europa.eu/EEAGlossary/F/forest_degradation",,,,
"forest disturbance",,,,,,
"forest ecosystem","http://www.eionet.europa.eu/gemet/concept/3416",,,"forest ecosystems",,
"forest fires",,,,,,
"forest management","http://www.eionet.europa.eu/gemet/concept/3425","http://glossary.eea.europa.eu/EEAGlossary/F/forest_management",,,,
"forest monitoring",,,,,,
"forest stewardship council",,,,,,
"forest thinning",,,,,,
"forest type",,,,"forest types",,
"Forest2008",,,,,,
"forestry","http://www.eionet.europa.eu/gemet/concept/3439",,,,,
"forestry bioenergy potential",,,,,,
"forestry model",,,,"forestry models",,
"forests",,,,,,
"formation",,,,"none",,
"forward-looking indicator",,,,"forward-looking indicators",,
"forward-looking information and services",,,,,,
"fossil","http://www.eionet.europa.eu/gemet/concept/3460",,,"fossils",,
"fossil fuel","http://www.eionet.europa.eu/gemet/concept/3462","http://glossary.eea.europa.eu/EEAGlossary/F/fossil_fuel",,"fossil fuels",,
"fossil fuels",,,,,,
"fragmentation",,"http://glossary.eea.europa.eu/EEAGlossary/F/fragmentation",,,,
"fragmentation report 2011",,,,,,
"freight",,,,,,
"freight activity",,,,,,
"freight transport","http://www.eionet.europa.eu/gemet/concept/3481","http://glossary.eea.europa.eu/EEAGlossary/F/freight_transport",,,,
"freight transport intensity",,"http://glossary.eea.europa.eu/EEAGlossary/F/freight_transport_intensity",,,,
"freshwater","http://www.eionet.europa.eu/gemet/concept/3485","http://glossary.eea.europa.eu/EEAGlossary/F/freshwater",,,,
"freshwater abstraction",,,,,,
"freshwater ecosystems",,,,,,
"freshwater pollution","http://www.eionet.europa.eu/gemet/concept/3493",,,,,
"freshwater quality",,,,,,
"fridge",,,,"fridges",,
"frost","http://www.eionet.europa.eu/gemet/concept/3496",,,,,
"fruit","http://www.eionet.europa.eu/gemet/concept/3498",,,"fruits",,
"fuel","http://www.eionet.europa.eu/gemet/concept/3505",,,"fuels",,
"fuel cell",,,,"fuel cells",,
"fuel consumption","http://www.eionet.europa.eu/gemet/concept/3510",,,,,
"fuel efficiency",,"http://glossary.eea.europa.eu/EEAGlossary/F/fuel_efficiency",,,,
"fuel price",,,,"fuel prices",,
"fuel switch",,,,,,
"fungicide","http://www.eionet.europa.eu/gemet/concept/3530","http://glossary.eea.europa.eu/EEAGlossary/F/fungicide",,"fungicides",,
"furan","http://www.eionet.europa.eu/gemet/concept/3536",,,"furans",,
"future environmental challenges",,,,,,
"future priorities",,,,,,
"garbage",,,,,,
"gas","http://www.eionet.europa.eu/gemet/concept/3566",,,"gases",,
"gas exploitation",,,,,,
"GDP",,"http://glossary.eea.europa.eu/EEAGlossary/G/GDP",,,,
"gdp",,,,"GDP",,
"gender",,,,,,
"genes",,,,,,
"genetic diversity","http://www.eionet.europa.eu/gemet/concept/3620","http://glossary.eea.europa.eu/EEAGlossary/G/genetic_diversity",,,,
"genetic pollution",,,,,,
"genetically modified organism","http://www.eionet.europa.eu/gemet/concept/14602","http://glossary.eea.europa.eu/EEAGlossary/G/genetically_modified_organism",,"genetically modified organisms",,
"geographic",,,,,,
"geology","http://www.eionet.europa.eu/gemet/concept/3650",,,,,
"geophysical hazards",,,,,,
"geospatial data",,,,,,
"GHG",,"http://glossary.eea.europa.eu/EEAGlossary/G/GHG",,,,
"GHG emission",,,,"GHG emissions",,
"GHG emission trend",,,,"GHG emissions trend",,
"GHG emissions",,,,,,
"GHG inventory",,,,,,
"GHG inventory reporting",,,,,,
"GHG retrospective",,,,,,
"GHG2008",,,,,,
"GHG2009",,,,,,
"GHG2009, ghg2009-2.1",,,,,,
"GHG2010",,,,,,
"GHG2011",,,,,,
"GIS",,"http://glossary.eea.europa.eu/EEAGlossary/G/GIS",,,,
"GISCO",,,,,,
"glacier","http://www.eionet.europa.eu/gemet/concept/3673",,,"glaciers",,
"glaciers",,,,,,
"glass waste",,,,,,
"global",,"http://glossary.eea.europa.eu/EEAGlossary/C/comprehensive",,,,
"global consumption",,,,,,
"global governance",,,,,,
"global impacts",,,,,,
"global megatrends",,,,,,
"global monitoring for environment and security",,"http://glossary.eea.europa.eu/EEAGlossary/G/global_monitoring_for_environment_and_security",,,,
"global resource exploitation",,,,,,
"global trade",,,,,,
"global warming","http://www.eionet.europa.eu/gemet/concept/3692","http://glossary.eea.europa.eu/EEAGlossary/G/global_warming",,,,
"globalisation",,,,,,
"GMES",,"http://glossary.eea.europa.eu/EEAGlossary/G/GMES",,,,
"GMOs",,"http://glossary.eea.europa.eu/EEAGlossary/G/GMOs",,,,
"Gothenburg Protocol",,,,,,
"governance",,,,,,
"GPS",,"http://glossary.eea.europa.eu/EEAGlossary/G/GPS",,,,
"grains",,,,"grain",,
"grassland","http://www.eionet.europa.eu/gemet/concept/3733","http://glossary.eea.europa.eu/EEAGlossary/G/grassland",,,,
"gravel","http://www.eionet.europa.eu/gemet/concept/3738",,,,,
"gravel extraction","http://www.eionet.europa.eu/gemet/concept/3739",,,,,
"green architecture",,,,,,
"green area",,,,"green space",,
"green budget",,,,,,
"green economy",,,,,,
"green growth",,,,,,
"green job",,,,"green jobs",,
"green pharmacy",,,,,,
"green purchasing",,,,,,
"green space","http://www.eionet.europa.eu/gemet/concept/3770","http://glossary.eea.europa.eu/EEAGlossary/G/green_space",,,,
"green tax",,,,"green taxes",,
"green technology",,,,,,
"green tip",,,,"green tips",,
"green urban areas",,,,,,
"green wall",,,,"green walls",,
"green week",,,,,,
"greenhouse gas","http://www.eionet.europa.eu/gemet/concept/3763","http://glossary.eea.europa.eu/EEAGlossary/G/greenhouse_gas",,"greenhouse gases",,
"greenhouse gas emission",,,,"greenhouse gas emissions",,
"Greenhouse Gas Emissions",,,,"greenhouse gas emissions",,
"greenhouse gas emissions",,,,,,
"greenhouse gas inventory",,,,,,
"greenhouse gases",,,,,,
"Greenland",,,"geo",,3425505,
"greens",,,,"vegetables",,
"GreenX",,,,,,
"grid",,"http://glossary.eea.europa.eu/EEAGlossary/G/grid",,,,
"ground-level ozone",,"http://glossary.eea.europa.eu/EEAGlossary/G/ground-level_ozone",,,,
"groundwater","http://www.eionet.europa.eu/gemet/concept/3780","http://glossary.eea.europa.eu/EEAGlossary/G/groundwater",,,,
"groundwater quality","http://www.eionet.europa.eu/gemet/concept/13106",,,,,
"growing season",,,,,,
"growth rates",,,,,,
"GUA",,,,,,
"guidelines",,,,"none",,
"guidelines on monitoring and reporting",,,,,,
"habitat","http://www.eionet.europa.eu/gemet/concept/3808","http://glossary.eea.europa.eu/EEAGlossary/H/habitat",,"habitats",,
"habitat destruction","http://www.eionet.europa.eu/gemet/concept/14851","http://glossary.eea.europa.eu/EEAGlossary/H/habitat_destruction",,,,
"habitat directive",,,,"Habitats Directive",,
"habitat fragmentation",,,,,,
"habitats",,,,,,
"habitats directive",,"http://glossary.eea.europa.eu/EEAGlossary/H/habitats_directive",,"Habitats Directive",,
"halocarbons",,,,,,
"harmful algal bloom",,,,"harmful algal blooms",,
"hazardous chemical",,,,"hazardous chemicals",,
"hazardous substance","http://www.eionet.europa.eu/gemet/concept/3854","http://glossary.eea.europa.eu/EEAGlossary/H/hazardous_substance",,"hazardous substances",,
"hazardous waste","http://www.eionet.europa.eu/gemet/concept/3858","http://glossary.eea.europa.eu/EEAGlossary/H/hazardous_waste",,,,
"hazards",,,,"extreme events",,
"HCB",,"http://glossary.eea.europa.eu/EEAGlossary/H/HCB",,,,
"HCH",,"http://glossary.eea.europa.eu/EEAGlossary/H/HCH",,,,
"health","http://www.eionet.europa.eu/gemet/concept/3865",,,,,
"health effects",,,,,,
"health impact",,,,"health impacts",,
"health target value",,,,,,
"heat",,,,,,
"heat wave",,,,"heat waves",,
"heath and scrub",,,,,,
"heating","http://www.eionet.europa.eu/gemet/concept/3894",,,,,
"heating degree",,,,,,
"heavy metal","http://www.eionet.europa.eu/gemet/concept/3915","http://glossary.eea.europa.eu/EEAGlossary/H/heavy_metal",,"heavy metals",,
"heavy metals",,,,,,
"help",,,,,,
"hemiboreal forest",,,,"hemiboreal forests",,
"hemisphere",,"http://glossary.eea.europa.eu/EEAGlossary/H/hemisphere",,"hemispheres",,
"herbicide","http://www.eionet.europa.eu/gemet/concept/3933","http://glossary.eea.europa.eu/EEAGlossary/H/herbicide",,"herbicides",,
"hexachlorobenzene",,"http://glossary.eea.europa.eu/EEAGlossary/H/hexachlorobenzene",,,,
"hexachlorocyclohexane",,"http://glossary.eea.europa.eu/EEAGlossary/H/hexachlorocyclohexane",,,,
"HFC",,"http://glossary.eea.europa.eu/EEAGlossary/H/HFC",,,,
"Hg",,"http://glossary.eea.europa.eu/EEAGlossary/H/Hg",,,,
"hidden costs of production",,,,,,
"high emitting households",,,,,,
"high nature value",,"http://glossary.eea.europa.eu/EEAGlossary/H/high_nature_value",,,,
"high ozone concentration",,,,,,
"high-input farming",,,,,,
"HNV",,"http://glossary.eea.europa.eu/EEAGlossary/H/HNV",,,,
"household","http://www.eionet.europa.eu/gemet/concept/4015","http://glossary.eea.europa.eu/EEAGlossary/H/household",,"households",,
"household consumption",,,,,,
"household energy consumption",,,,,,
"household waste",,"http://glossary.eea.europa.eu/EEAGlossary/H/household_waste",,,,
"housing","http://www.eionet.europa.eu/gemet/concept/4022",,,,,
"human",,,,"human health",,
"human health","http://www.eionet.europa.eu/gemet/concept/4051","http://glossary.eea.europa.eu/EEAGlossary/H/human_health",,,,
"hunting","http://www.eionet.europa.eu/gemet/concept/4072",,,,,
"hybrid vehicle",,,,"hybrid vehicles",,
"hydrocarbons",,"http://glossary.eea.europa.eu/EEAGlossary/H/hydrocarbons",,,,
"hydroelectric dam",,,,"hydroelectric dams",,
"hydrological cycle",,,,,,
"hydrometeorological hazards",,,,,,
"hydropower",,,,,,
"hypoxic",,,,"hypoxia",,
"iberian lynx",,,,"iberian lynxes",,
"ice","http://www.eionet.europa.eu/gemet/concept/4131",,,,,
"ice cover",,,,,,
"ice extend",,,,,,
"ice melting",,,,,,
"ice road",,,,"ice roads",,
"ICZM",,"http://glossary.eea.europa.eu/EEAGlossary/I/ICZM",,,,
"IED",,,,,,
"illegal",,,,"none",,
"illegal waste shipment",,,,"illegal waste shipments",,
"Image2000",,,,,,
"immigration",,,,,,
"impact",,,,"none",,
"impacts",,,,"none",,
"import","http://www.eionet.europa.eu/gemet/concept/4167",,,"imports",,
"Import dependency",,,,"import dependency",,
"imports",,,,,,
"incineration","http://www.eionet.europa.eu/gemet/concept/4182","http://glossary.eea.europa.eu/EEAGlossary/I/incineration",,,,
"income","http://www.eionet.europa.eu/gemet/concept/4187",,,,,
"increment",,,,,,
"indicator","http://www.eionet.europa.eu/gemet/concept/4196","http://glossary.eea.europa.eu/EEAGlossary/I/indicator",,"indicators",,
"indigenous people",,,,,,
"indoor pollution",,,,,,
"industrial",,,,"industry",,
"industrial accident",,,,"industrial accidents",,
"industrial combustion",,,,,,
"industrial effluent","http://www.eionet.europa.eu/gemet/concept/4229",,,,,
"industrial emissions directive",,,,,,
"industrial facility",,,,"industrial facilities",,
"industrial processes",,,,,,
"industrial production","http://www.eionet.europa.eu/gemet/concept/4258",,,,,
"industrial waste","http://www.eionet.europa.eu/gemet/concept/4273","http://glossary.eea.europa.eu/EEAGlossary/I/industrial_waste",,,,
"industrialisation","http://www.eionet.europa.eu/gemet/concept/4244",,,,,
"industry","http://www.eionet.europa.eu/gemet/concept/4279",,,,,
"information technologies",,,,,,
"infrastructure","http://www.eionet.europa.eu/gemet/concept/4321","http://glossary.eea.europa.eu/EEAGlossary/I/infrastructure",,"infrastructures",,
"inland",,,,"none",,
"inland bathing water",,,,,,
"inland water","http://www.eionet.europa.eu/gemet/concept/4333","http://glossary.eea.europa.eu/EEAGlossary/I/inland_water",,,,
"innovation","http://www.eionet.europa.eu/gemet/concept/4340",,,,,
"insect","http://www.eionet.europa.eu/gemet/concept/4358",,,"insects",,
"insecticide","http://www.eionet.europa.eu/gemet/concept/4354","http://glossary.eea.europa.eu/EEAGlossary/I/insecticide",,"insecticides",,
"in-shore",,,,"none",,
"insulation",,,,,,
"integrated assessment",,"http://glossary.eea.europa.eu/EEAGlossary/I/integrated_assessment",,,,
